thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.365)],[np.float64(-0.36333333333333334)],[1],[0],[0],[2.840257700008806],['Target'],0,0,0,0,0.041336300026159734,,5,0.020022700016852468,0.041336300026159734,0.041336300026159734,0.02003890002379194,2.8603505000355653,[np.float64(0.365)],[np.float64(-0.36333333333333334)],[1],[0],[0],[2.840257700008806],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
1,0,1,[np.float64(-0.35833333333333334)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.573937900015153],['Target'],1,0,1,0,2.8912427000468597,,5,2.870951100019738,2.8912427000468597,2.8912427000468597,0.010487399995326996,4.444989000039641,[np.float64(-0.35833333333333334)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.573937900015153],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
2,0,2,[np.float64(-0.11833333333333333)],[np.float64(-0.4066666666666667)],[1],[0],[0],[2.4264633000129834],['Target'],2,0,2,0,4.491109599999618,,10,4.468949600006454,4.491109599999618,4.491109599999618,0.02378879999741912,6.895518200006336,[np.float64(-0.11833333333333333)],[np.float64(-0.4066666666666667)],[1],[0],[0],[2.4264633000129834],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
3,0,3,[np.float64(0.415)],[np.float64(0.35833333333333334)],[1],[0],[0],[1.584930799959693],['Target'],3,0,3,0,6.924361700017471,,5,6.910780900041573,6.924361700017471,6.924361700017471,0.015058599994517863,8.495817700051703,[np.float64(0.415)],[np.float64(0.35833333333333334)],[1],[0],[0],[1.584930799959693],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
4,0,4,[np.float64(0.056666666666666664)],[np.float64(0.39666666666666667)],[1],[0],[0],[1.9100455999723636],['Target'],4,0,4,0,8.541262900049333,,10,8.51822930003982,8.541262900049333,8.541262900049333,0.02223149995552376,10.428383600024972,[np.float64(0.056666666666666664)],[np.float64(0.39666666666666667)],[1],[0],[0],[1.9100455999723636],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
5,0,5,[np.float64(-0.04)],[np.float64(0.17666666666666667)],[1],[0],[0],[1.9436490999651141],['Target'],5,0,5,0,10.474926900002174,,10,10.452058900031261,10.474926900002174,10.474926900002174,0.02345499995863065,12.39581390004605,[np.float64(-0.04)],[np.float64(0.17666666666666667)],[1],[0],[0],[1.9436490999651141],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
6,0,6,[np.float64(0.42)],[np.float64(-0.08666666666666667)],[1],[0],[0],[2.5831733000231907],['Target'],6,0,6,0,12.42489210003987,,5,12.41096250002738,12.42489210003987,12.42489210003987,0.014933300029952079,14.994300400023349,[np.float64(0.42)],[np.float64(-0.08666666666666667)],[1],[0],[0],[2.5831733000231907],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
7,0,7,[np.float64(0.11333333333333333)],[np.float64(-0.34833333333333333)],[1],[0],[0],[2.117049499996938],['Target'],7,0,7,0,15.025044900015928,,5,15.010980600025505,15.025044900015928,15.025044900015928,0.016523799975402653,17.128139900043607,[np.float64(0.11333333333333333)],[np.float64(-0.34833333333333333)],[1],[0],[0],[2.117049499996938],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
8,0,8,[np.float64(-0.19333333333333333)],[np.float64(0.035)],[1],[0],[0],[8.091709100001026],['Target'],8,0,8,0,17.17507590004243,,10,17.152861800044775,17.17507590004243,17.17507590004243,0.024501800013240427,25.244670600048266,[np.float64(-0.19333333333333333)],[np.float64(0.035)],[1],[0],[0],[8.091709100001026],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
9,0,9,[np.float64(-0.2683333333333333)],[np.float64(0.48333333333333334)],[1],[0],[0],[2.1909109000116587],['Target'],9,0,9,0,25.29058170004282,,10,25.269280200009234,25.29058170004282,25.29058170004282,0.024395200016442686,27.46030240005348,[np.float64(-0.2683333333333333)],[np.float64(0.48333333333333334)],[1],[0],[0],[2.1909109000116587],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
10,0,10,[np.float64(-0.10666666666666667)],[np.float64(-0.08833333333333333)],[1],[0],[0],[2.2682073999894783],['Target'],10,0,10,0,27.490779000043403,,5,27.476283200026955,27.490779000043403,27.490779000043403,0.0157867000089027,29.74459240003489,[np.float64(-0.10666666666666667)],[np.float64(-0.08833333333333333)],[1],[0],[0],[2.2682073999894783],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
11,0,11,[np.float64(0.3333333333333333)],[np.float64(0.34)],[1],[0],[0],[3.930483100004494],['Target'],11,0,11,0,29.774398800043855,,5,29.76360400003614,29.774398800043855,29.774398800043855,0.018857200047932565,33.69419780001044,[np.float64(0.3333333333333333)],[np.float64(0.34)],[1],[0],[0],[3.930483100004494],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
12,0,12,[np.float64(-0.175)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.7091847999836318],[None],12,0,12,0,33.741104800021276,,10,33.71817830001237,33.741104800021276,33.741104800021276,0.023775000008754432,35.427512800029945,[np.float64(-0.175)],[np.float64(0.16833333333333333)],[1],[0],[0],[1.7091847999836318],[None],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
13,0,13,[np.float64(-0.265)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.543856300006155],['Target'],13,0,13,0,35.45687970001018,,10,35.449607800052036,35.45687970001018,35.45687970001018,0.021766600024420768,36.993579100002535,[np.float64(-0.265)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.543856300006155],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
14,0,14,[np.float64(0.19666666666666666)],[np.float64(0.19)],[1],[0],[0],[1.6833728000055999],['Target'],14,0,14,0,37.02377900003921,,5,37.00973620003788,37.02377900003921,37.02377900003921,0.01591700001154095,38.693217700056266,[np.float64(0.19666666666666666)],[np.float64(0.19)],[1],[0],[0],[1.6833728000055999],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
15,0,15,[np.float64(0.16666666666666666)],[np.float64(0.375)],[1],[0],[0],[1.2247377999592572],['Target'],15,0,15,0,38.741323599999305,,10,38.71802020003088,38.741323599999305,38.741323599999305,0.024585100007243454,39.94287320005242,[np.float64(0.16666666666666666)],[np.float64(0.375)],[1],[0],[0],[1.2247377999592572],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
16,0,16,[np.float64(-0.2633333333333333)],[np.float64(-0.4066666666666667)],[1],[0],[0],[2.2526698000147007],['Target'],16,0,16,0,39.974217500013765,,5,39.959002000046894,39.974217500013765,39.974217500013765,0.015918999968562275,42.211792800051626,[np.float64(-0.2633333333333333)],[np.float64(-0.4066666666666667)],[1],[0],[0],[2.2526698000147007],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
17,0,17,[np.float64(0.3016666666666667)],[np.float64(0.47)],[1],[0],[0],[3.8013097000075504],['Target'],17,0,17,0,42.24130800005514,,5,42.22721060004551,42.24130800005514,42.24130800005514,0.015224699978716671,46.028623200021684,[np.float64(0.3016666666666667)],[np.float64(0.47)],[1],[0],[0],[3.8013097000075504],['Target'],005,001,2025-09-21_22h54.23.116,Visual Search,,2025.1.1,60.13464146538083,2025-09-21 22h54.39.649054 +0530,
